ID,0.영어(English),1.한국어,2.중국어(간체)(简体中文),3.중국어(번체)(繁體中文),4.일본어(日本語),5.스페인어(Español),6.독일어(Deutsch),7.포루투칼어(Português),8.러시아어(русский язык),9.이탈리아어(Italiano),10.폴란드어(język polski),11.터키어(Türkçe),12.프랑스어(Français)
0033,FAIL,실패,失败,失敗,失敗,Fracaso,VERLOREN,FRACASSO,НЕУДАЧА,FALLIMENTO,PORAŻKA,kaybetmek,Echec
0034,SCORE,스코어,成绩,成績,スコア,Puntaje,PUNKTZAHL,PONTUAÇÃO,СЧЕТ,PUNTEGGIO,WYNIK,skor,Score
0035,Waiting...,대기중...,等待中…,等待中…,待機中...,Esperando,Warten...,A aguardar…,Ожидание...,Attendi…,Oczekiwanie…,bekleniyor…,En attente…
0036,Level,난이도,难度,難度,つよさ,Nível,Level,Nível,Уровень,Livello,Poziom,seviye,Niveau
0037,How To Play,게임 설명,如何操作,遊戲方法,やり方,Cómo jugar,Spielanleitung,Como jogar,Как Играть,Come si gioca,Jak Grać,nasıl oynanır,Comment jouer
0038,Time,시간,时间,時間,時間,Tiempo,Zeit,Tempo,Время,Tempo,Czas,zaman,Temps
0039,Info,정보,资料,資料,情報,Info,Info,Info,да́нные,Info,Info,bilgi,Info
0040,ME,자신,自己,自己,自分,Yo,ICH,EU,МНЕ,IO,JA,ben,Moi
0041,OPPONENT,상대,对手,對手,相手,Oponente,GEGNER,ADVERSÁRIO,ПРОТИВНИК,AVVERSARIO,PRZECIWNIK,rakip,Adversaire
0042,Name,이름,名字,名字,名前,Nombre,Name,Nome,Имя,Nome,Nazwa,isim,Nom
0043,Set,세트,局,局,セット,Juego,Satz,Partida,Набор,Set,Zbiór,set,Set
0044,CURRENT SERVER,현재 서버,当前服务器,當前服務器,現在サーバ,SERVIDOR ACTUAL,AKTUELLER SERVER,SERVIDOR ATUAL,ТЕКУЩИЙ СЕРВЕР,SERVER CORRENTE,BIEŻĄCY SERWER,MEVCUT SUNUCU,SERVEUR ACTUEL
0045,Set,놓기,放,放,置く,Colocar,Setzen,Colocar,класть,Mettere,Kłaść,Koymak,Mettre
0046,BGM,배경음,背景音乐,背景音樂,BGM,BGM,BGM,BGM,Фоновая музыка,BGM,BGM,BGM,BGM
0047,Effect,효과음,效果音,効果音,効果音,Efecto,Bewirken,Efeito,Эффект,Effetto,Efekt,Etki,Effet
0048,Please connect to the Internet.,인터넷 연결이 필요합니다.,请连接到互联网,請連接到互聯網,インターネット接続が必要です。,Por favor conectarse a Internet,Bitte stellen Sie eine Internetverbindung her,Por favor conecte-se à Internet,Пожалуйста подключитесь к Интернету,Si prega di connettersi a Internet,Połącz się z Internetem,Lütfen İnternete Bağlanın,Veuillez vous connecter à Internet
0049,Please update to the latest version.,최신 버전 업데이트가 필요합니다.,请更新到最新版本。,請更新到最新版本。,最新バージョンの更新が必要です。,Actualice a la última versión.,Bitte aktualisieren Sie auf die neueste Version.,Atualize para a versão mais recente.,Пожалуйста обновите до последней версии.,Si prega di aggiornare all'ultima versione.,Zaktualizuj do najnowszej wersji.,Lütfen en son sürüme güncelleyin.,Veuillez mettre à jour vers la dernière version.
0050,Beat Boxing,비트 복싱,节奏拳击,節奏拳击,ビートボクシング,Beat Boxing,Beatboxen,Beat Boxing,битбокс,Beat boxe,Pokonaj boks,Beat boks,Beat boxe
0051,Heavy Bag,헤비 백,沉重的包,沉重的包,ヘビーバッグ,Bolsa pesada,Schwere Tasche,Saco pesado,Тяжелая сумка,Borsa pesante,Ciężka torba,Ağır çanta,Sac lourd
0052,Speed Bag,스피드 백,速度包,速度包,スピードバッグ,Pera boxeo,Boxbirne,Saco de velocidade,Боксерская груша,pera boxe,worek prędkość,Hız Çantası,Sac de vitesse
0053,Dummy Bag,더미 백,拳击假人,拳擊假人,ダミーバッグ,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy
0054,Round,라운드,回合,回合,ラウンド,Round,Round,Round,Round,Round,Round,Round,Round
0055,Select one or more,종목선택(하나 이상),选择一个或多个,選擇一個或多個,1つ以上を選択します,Seleccione uno o más,Wählen Sie eine oder mehrere aus,Selecione um ou mais,выберите один или несколько,selezionane uno o più,wybierz jeden lub więcej,bir veya daha fazlasını seçin,sélectionnez un ou plusieurs
0056,On-line ,온라인 ,网上,網上,オンライン,Online,Online,On-line,онлайн,Online,Online,Online,En ligne
0057,A connection has been lost with the opponent.,상대방과의 연결이 끊겼습니다.,与对手失去了联系,與對手失去了聯繫,相手との接続が切れました,Se ha perdido la conexión con el oponente.,Die Verbindung zum Gegner ist verloren gegangen.,A conexão foi perdida com o oponente.,Связь с противником потеряна.,La connessione è stata persa con l'avversario.,Utracono połączenie z przeciwnikiem.,Rakip ile bağlantı kesildi.,La connexion a été perdue avec l'adversaire.
0058,Next,Next,下一个,Next,Next,Next,Next,Next,Next,Next,Next,Next,Next
0059,Player,플레이어,运动员,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player
0060,Jet Ski,제트스키,摩托艇,摩托艇,ジェット・スキー,Moto acuática,Jet Ski,Jet Ski,Гидроцикл,Moto d'acqua,Skuter wodny,jet ski,Jet ski
0061,BeachVolleyball,비치발리볼,沙滩排球,沙灘排球,ビーチバレー,Voleibol de playa,Beach-Volleyball,Vôlei de praia,Пляжный воллейбол,Beach volley,Siatkówka plażowa,Plaj Voleybolu,Beach-volley
0062,Fishing,낚시,钓鱼,釣魚,釣り,Pescar,Angeln,pescaria,Ловит рыбу,Pesca,Wędkarstwo,Balık tutma,Faire de la pêche
0063,Flying Disc,플라잉디스크,飞盘,飛盤,フリスビー,disco volador,Frisbeescheibe,frisbee,фрисби,frisbee,frisbee,frizbi,frisbee
0064,Cycling,사이클,自行车,自行車,サイクリング,Ciclismo,Radfahren,Ciclismo,Кататься на велосипеде,Ciclismo,Jazda rowerem,Bisiklet sürmek,Vélo
0065,Swimming,수영,游泳,游泳,水泳,Natación,Schwimmen,Natação,Плавание,Nuoto,Pływanie,Yüzme,Natation
0066,Rank,등급,名次,名次,ランク,Rank,Rang,nível,Рейтинг,Classifica,Ranga,derece,Rang
0067,Name,이름,名字,名字,名前,Nombre,Name,Nome,Имя,Nome,Nazwa,isim,Nom
0068,Version,Version,版本,Version,Version,Version,Version,Version,Version,Version,Version,Version,Version
0069,FISH,물고기,鱼,魚,魚,Pez,Fisch,Peixe,рыба,Pesce,Ryba,Balık,Poisson
0070,Clay Shooting,클레이사격,粘土射击,粘土射擊,クレイシューティング,tiro al plato,Tontaubenschießen,tiro ao prato,Глиняная стрельба,tiro al piattello,strzelanieStrzelanie do rzutków,Kil çekimi atıcılığ,Ball-trap
0071,Water Polo,수구,水球,水球,水球,Polo acuático,Wasser Polo,Pólo aquático,Водное поло,Pallanuoto,Wodne polo,Sutopu,Water polo
0072,NOTICE,공지사항,通告,公告事項,お知らせ,AVISO,NOTIZ,AVISO,Уведомление,AVVISO,Zauważyć,Fark etme,AVIS
0073,[ MRC ],[ 혼합 현실 캡처 (MRC) ],[ 混合现实捕获 ],[ 混合實境擷取 ],[ Mixed Reality キャプチャ ],[ MRC ],[ MRC ],[ MRC ],[ MRC ],[ MRC ],[ MRC ],[ MRC ],[ MRC ]
0074,ON,켜기,开,開,オン,ON,ON,ON,ON,ON,ON,ON,ON
0075,OFF,끄기,关,關,オフ,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
0076,Shoot Off,Shoot Off,最后一次发射,Shoot Off,Shoot Off,Shoot Off,Shoot Off,Shoot Off,Shoot Off,Shoot Off,Shoot Off,Shoot Off,Shoot Off
0077,Pistol Shooting,권총사격,手枪射击,手槍射擊,ピストル射撃,Pistola,Pistolenschießen,pistola,Стрельба из пистолета,Pistola,pistoletu,pistoletu,Tir au pistole
0078,Scuba Diving,스쿠버 다이빙,水肺潜水,水肺潛水,スキューバダイビング,Submarinismo,Gerätetauchen,Mergulho,Подводное плавание с аквалангом,Immersioni in subacquea,Nurkowanie,Tüplü dalış,Plongée sous-marine
0079,Water Basketball,수중농구,水上篮球,水上籃球,水中バスケットボール,Waterbasket,wasserbasketball,Basquete aquático,Водное баскетбол,BASKET ACQUATICO,Koszykówka wodna,Su basketbolu,Basket-ball aquatique
0080,Total ,총합,总计,總計,合計,Total,Gesamt,Total,Общее,Totale,Całkowity,Toplam,Total
